title,body,labels,assignees,milestone
"T001.1 - Create repository layout and README","ID: T001.1\nEstimate: LO\nFiles: README.md, .gitignore\nDescription: Create top-level README and repository layout for modules.\nAcceptance: repo skeleton exists and README describes modules.","phase0,infra,est-LO","","Phase 0"
"T001.2 - Add GitHub workflows: CI","ID: T001.2\nEstimate: MD\nFiles: .github/workflows/ci.yml\nDescription: Add CI pipeline with lint and test jobs.\nAcceptance: PR triggers CI and passes on empty run.","phase0,ci,est-MD","","Phase 0"
"T001.3 - Linters and formatter configs","ID: T001.3\nEstimate: LO\nFiles: .eslintrc/.prettierrc (or equivalents)\nDescription: Configure repo linters and formatter.\nAcceptance: lint job runs and reports.","phase0,infra,est-LO","","Phase 0"
"T002.1 - IaC directory and templates","ID: T002.1\nEstimate: MD\nFiles: infra/README.md, infra/templates/*\nDescription: Create IaC directory and basic templates.\nAcceptance: templates present and documented.","phase0,infra,iac,est-MD","","Phase 0"
"T002.2 - Define DB, storage, queue resources","ID: T002.2\nEstimate: HI\nFiles: infra/templates/*.tf\nDescription: Define templates for DB, object storage, and queue resources.\nAcceptance: templates include DB, bucket, queue with variables.","phase0,infra,iac,est-HI","","Phase 0"
"T003.1 - Auth skeleton: login endpoint","ID: T003.1\nEstimate: LO\nFiles: backend/src/auth/*\nDescription: Implement login endpoint accepting Telegram token and issuing session token.\nAcceptance: /auth/login returns token and 200 for valid telegram token.","phase0,backend,auth,est-LO","","Phase 0"
"T003.2 - Persist user on first login","ID: T003.2\nEstimate: MD\nFiles: backend/src/models/user, migrations\nDescription: Create user record on first login with default tier.\nAcceptance: user persisted with telegram_id and default tier.","phase0,backend,auth,est-MD","","Phase 0"
"T003.3 - Tests for auth flow","ID: T003.3\nEstimate: MD\nFiles: backend/tests/auth/*\nDescription: Unit tests verifying login mapping and token issuance.\nAcceptance: tests pass in CI.","phase0,tests,est-MD","","Phase 0"
"T004.1 - Schemas/migrations: User/Project/Track/Version","ID: T004.1\nEstimate: MD\nFiles: backend/migrations/*, backend/src/models/*\nDescription: Define schemas and migrations for core models.\nAcceptance: migrations create tables; CRUD unit tests pass.","phase0,models,db,est-MD","","Phase 0"
"T004.2 - Implement Job/Transaction/AppBalance/PriceCatalog models","ID: T004.2\nEstimate: MD\nFiles: backend/src/models/*\nDescription: Add billing and job related models.\nAcceptance: models include required fields and basic CRUD APIs.","phase0,models,db,est-MD","","Phase 0"
"T005.1 - Admin PriceCatalog API","ID: T005.1\nEstimate: MD\nFiles: backend/src/admin/pricecatalog.*\nDescription: Admin API to list/update price entries.\nAcceptance: admin can list and update prices.","phase0,admin,est-MD","","Phase 0"
"T010.1 - Billing domain model and API spec","ID: T010.1\nEstimate: LO\nFiles: backend/src/services/billing/spec.md\nDescription: Design billing domain and API contract.\nAcceptance: API spec reviewed and approved.","phase1,billing,est-LO","","Phase 1"
"T010.2 - Implement hold/commit/refund endpoints","ID: T010.2\nEstimate: HI\nFiles: backend/src/services/billing/*\nDescription: Implement core billing operations with concurrency safeguards.\nAcceptance: unit tests for hold/commit/refund and race conditions.","phase1,billing,est-HI","","Phase 1"
"T010.3 - Transaction logging and audit trail","ID: T010.3\nEstimate: MD\nFiles: backend/src/services/billing/logging*\nDescription: Persist all financial events with trace to jobs.\nAcceptance: audit log records all events.","phase1,billing,est-MD","","Phase 1"
"T011.1 - AppBalance model and admin top-up","ID: T011.1\nEstimate: MD\nFiles: backend/src/services/app_balance/*\nDescription: Implement AppBalance and admin top-up endpoint.\nAcceptance: admin top-up increases balance and records transaction.","phase1,billing,admin,est-MD","","Phase 1"
"T011.2 - Threshold alerting integration","ID: T011.2\nEstimate: LO\nFiles: monitoring/alerts/*\nDescription: Alerting when AppBalance below threshold.\nAcceptance: alert fires when balance low.","phase1,monitoring,est-LO","","Phase 1"
"T012.1 - Adapter interface and config","ID: T012.1\nEstimate: LO\nFiles: backend/src/providers/interface*\nDescription: Define provider adapter interface and config.\nAcceptance: adapter interface documented and implemented.","phase1,providers,est-LO","","Phase 1"
"T012.2 - SunoAPI client implementation","ID: T012.2\nEstimate: MD\nFiles: backend/src/providers/suno_adapter/*\nDescription: Implement SunoAPI client with mockable layer.\nAcceptance: unit tests against mock for cost and artifact URL.","phase1,providers,est-MD","","Phase 1"
"T012.3 - Adapter error handling and retries","ID: T012.3\nEstimate: MD\nFiles: backend/src/providers/suno_adapter/*\nDescription: Implement retry policy and error classification.\nAcceptance: transient errors retried; permanent errors surfaced.","phase1,providers,est-MD","","Phase 1"
"T013.1 - Job submit endpoint","ID: T013.1\nEstimate: MD\nFiles: backend/src/jobs/producer/api/*\nDescription: Endpoint to submit jobs, compute credit cost and return job id.\nAcceptance: endpoint returns job_id and required_credits.","phase1,jobs,est-MD","","Phase 1"
"T013.2 - Integrate hold creation on submit","ID: T013.2\nEstimate: MD\nFiles: backend/src/services/billing/*, backend/src/jobs/producer/*\nDescription: Create hold transaction when user submits job.\nAcceptance: HOLD created and referenced by job.","phase1,billing,jobs,est-MD","","Phase 1"
"T013.3 - Validate tier/feature gating and credits","ID: T013.3\nEstimate: LO\nFiles: backend/src/jobs/producer/*, middleware/featuregate\nDescription: Reject submissions if insufficient credits or feature not allowed.\nAcceptance: submit denied with clear message if not allowed.","phase1,jobs,auth,est-LO","","Phase 1"
"T014.1 - Worker scaffold: dequeue and state transitions","ID: T014.1\nEstimate: MD\nFiles: backend/src/jobs/worker/*\nDescription: Worker skeleton handling job lifecycle.\nAcceptance: worker pulls job and sets RUNNING state.","phase1,worker,est-MD","","Phase 1"
"T014.2 - Provider orchestration and artifact persist","ID: T014.2\nEstimate: HI\nFiles: backend/src/jobs/worker/*, storage integration\nDescription: Call provider, store artifact, record provider cost.\nAcceptance: artifact stored and job marked SUCCESS.","phase1,worker,storage,est-HI","","Phase 1"
"T014.3 - Commit/rollback billing hold","ID: T014.3\nEstimate: MD\nFiles: backend/src/services/billing/*, worker code\nDescription: Finalize holds on success or release on failure.\nAcceptance: transactions finalized correctly.","phase1,billing,worker,est-MD","","Phase 1"
"T014.4 - Idempotency and safe retries","ID: T014.4\nEstimate: MD\nFiles: backend/src/jobs/worker/*\nDescription: Ensure idempotent processing and safe replays.\nAcceptance: duplicate deliveries do not double-charge.","phase1,worker,est-MD","","Phase 1"
"T015.1 - Event bus schema for progress","ID: T015.1\nEstimate: LO\nFiles: backend/src/events/README.md\nDescription: Define event schema for progress updates.\nAcceptance: schema documented.","phase1,events,est-LO","","Phase 1"
"T015.2 - Worker progress emissions","ID: T015.2\nEstimate: MD\nFiles: backend/src/jobs/worker/*, backend/src/events/*\nDescription: Emit progress milestones from worker.\nAcceptance: milestones published and consumable.","phase1,events,worker,est-MD","","Phase 1"
"T015.3 - Mini App subscription/polling","ID: T015.3\nEstimate: MD\nFiles: miniapp/src, backend/src/events/*\nDescription: Implement WS or polling to surface progress to clients.\nAcceptance: client shows progress updates in UI.","phase1,miniapp,events,est-MD","","Phase 1"
"T016.1 - Daily reconciliation job","ID: T016.1\nEstimate: MD\nFiles: backend/src/jobs/reconcile/*\nDescription: Compare provider invoices to recorded job costs.\nAcceptance: reconciliation report generated.","phase1,ops,reconcile,est-MD","","Phase 1"
"T016.2 - Automated adjustments and alerts","ID: T016.2\nEstimate: MD\nFiles: backend/src/jobs/reconcile/*, monitoring/*\nDescription: Create adjustments and alert admins on variances.\nAcceptance: transactions adjusted and alerts created when threshold exceeded.","phase1,ops,est-MD","","Phase 1"
"T020.1 - Bot command parsing and auth","ID: T020.1\nEstimate: LO\nFiles: backend/src/bot/commands/*\nDescription: Bot parses commands and authenticates users.\nAcceptance: /generate accepted and returns job_id.","phase1,bot,est-LO","","Phase 1.5"
"T020.2 - Bot map actions to job submit","ID: T020.2\nEstimate: MD\nFiles: backend/src/bot/*, backend/src/jobs/producer/*\nDescription: Bot submits job and queries status.\nAcceptance: bot provides job id and status queries work.","phase1,bot,jobs,est-MD","","Phase 1.5"
"T020.3 - Bot completion messages with deep-links","ID: T020.3\nEstimate: MD\nFiles: backend/src/bot/*\nDescription: Send completion messages with Mini App deep-links.\nAcceptance: messages include clickable link to open result in Mini App.","phase1,bot,ux,est-MD","","Phase 1.5"
"T021.1 - Mini App project screens","ID: T021.1\nEstimate: MD\nFiles: miniapp/src/pages/*\nDescription: Implement projects page, generate modal, job list.\nAcceptance: UI screens render and navigate.","phase1,miniapp,ux,est-MD","","Phase 1.5"
"T021.2 - Job submit flow in Mini App","ID: T021.2\nEstimate: MD\nFiles: miniapp/src, backend/src/jobs/producer/*\nDescription: Integrate submit API and show status.\nAcceptance: user can submit and see job status.","phase1,miniapp,jobs,est-MD","","Phase 1.5"
"T021.3 - Balance UI","ID: T021.3\nEstimate: LO\nFiles: miniapp/src/components/balance*\nDescription: Show user credits and pending holds.\nAcceptance: balance updates reflect holds and charges.","phase1,miniapp,ux,est-LO","","Phase 1.5"
"T022.1 - Notification queue to Bot/MiniApp","ID: T022.1\nEstimate: MD\nFiles: backend/src/notify/*\nDescription: Queue notifications with retries.\nAcceptance: notifications delivered reliably.","phase1,notify,est-MD","","Phase 1.5"
"T022.2 - Notification templates management","ID: T022.2\nEstimate: LO\nFiles: admin/src/templates/*\nDescription: Admin editable message templates.\nAcceptance: templates can be edited by admin and used by service.","phase1,admin,est-LO","","Phase 1.5"
"T030.1 - Editor operation primitives","ID: T030.1\nEstimate: MD\nFiles: backend/src/editor/*\nDescription: Implement trim/split/merge/volume operations server-side.\nAcceptance: operations produce new artifact and version.","phase2,editor,est-MD","","Phase 2"
"T030.2 - Persist derived artifacts and versions","ID: T030.2\nEstimate: MD\nFiles: backend/src/editor/*, storage integration\nDescription: Save edited artifacts and create Version records.\nAcceptance: new Version exists with parent reference.","phase2,editor,storage,est-MD","","Phase 2"
"T031.1 - Editor UI implementation","ID: T031.1\nEstimate: HI\nFiles: miniapp/src/editor/*\nDescription: Build minimal editor UI controls and interactions.\nAcceptance: user performs edits and previews changes.","phase2,miniapp,editor,est-HI","","Phase 2"
"T031.2 - Save-as-version and browser","ID: T031.2\nEstimate: MD\nFiles: miniapp/src/editor/*\nDescription: Save edits as versions and browse history.\nAcceptance: user can revert and download versions.","phase2,miniapp,editor,est-MD","","Phase 2"
"T032.1 - Analysis job type and worker hooks","ID: T032.1\nEstimate: MD\nFiles: backend/src/analysis/*, worker hooks\nDescription: Implement analysis job producing metrics and recommendations.\nAcceptance: analysis returns metrics and >=3 recommendations.","phase2,analysis,est-MD","","Phase 2"
"T032.2 - Surface analysis report in UI","ID: T032.2\nEstimate: LO\nFiles: miniapp/src/analysis/*\nDescription: Display analysis report and recommendations in Mini App.\nAcceptance: user can open report and read recommendations.","phase2,miniapp,analysis,est-LO","","Phase 2"
"T040.1 - Admin auth and RBAC","ID: T040.1\nEstimate: LO\nFiles: admin/src/auth*\nDescription: Protect admin panel endpoints with RBAC.\nAcceptance: only admin roles can access panel.","phase3,admin,auth,est-LO","","Phase 3"
"T040.2 - Tier management UI","ID: T040.2\nEstimate: MD\nFiles: admin/src/tier-management*\nDescription: Admin can edit credits/day, allowed models and save changes.\nAcceptance: changes persist and apply to new jobs.","phase3,admin,est-MD","","Phase 3"
"T040.3 - AppBalance management UI","ID: T040.3\nEstimate: MD\nFiles: admin/src/appbalance*\nDescription: Admin can top-up AppBalance and view history.\nAcceptance: top-up adjusts balance and transaction logged.","phase3,admin,est-MD","","Phase 3"
"T041.1 - Feature-Gating middleware","ID: T041.1\nEstimate: MD\nFiles: backend/src/middleware/featuregate*\nDescription: Middleware checks PriceCatalog and tier for access.\nAcceptance: blocked requests return upgrade suggestion.","phase3,backend,est-MD","","Phase 3"
"T042.1 - Daily credits grant job","ID: T042.1\nEstimate: MD\nFiles: backend/src/jobs/daily_credits*\nDescription: Grant credits on login/daily schedule per tier.\nAcceptance: users receive configured credits after login.","phase3,backend,jobs,est-MD","","Phase 3"
"T042.2 - Admin manual grants","ID: T042.2\nEstimate: LO\nFiles: admin/src/credits*\nDescription: Admin can grant credits manually.\nAcceptance: manual grants recorded and reflected in balance.","phase3,admin,est-LO","","Phase 3"
"T043.1 - Transactions listing and filters","ID: T043.1\nEstimate: MD\nFiles: admin/src/transactions*\nDescription: Admin can view and export transaction logs.\nAcceptance: admin filters by user/job/date and exports CSV.","phase3,admin,est-MD","","Phase 3"
"T050.1 - Unit tests for billing domain","ID: T050.1\nEstimate: HI\nFiles: backend/tests/billing/*\nDescription: Cover hold/commit/refund and concurrency.\nAcceptance: tests pass in CI.","tests,est-HI","","Cross-cutting"
"T050.2 - Integration tests with provider mock","ID: T050.2\nEstimate: HI\nFiles: backend/tests/integration/providers/*\nDescription: Validate provider adapter behavior with mocks.\nAcceptance: integration tests pass.","tests,est-HI","","Cross-cutting"
"T050.3 - E2E flow tests","ID: T050.3\nEstimate: HI\nFiles: e2e/tests/*\nDescription: End-to-end scenario covering submit->worker->artifact->notify->edit->analyze.\nAcceptance: E2E smoke passes in staging.","tests,e2e,est-HI","","Cross-cutting"
"T051.1 - Metrics export setup","ID: T051.1\nEstimate: MD\nFiles: monitoring/*\nDescription: Export queue length, job latency, error rates.\nAcceptance: metrics available in monitoring system.","monitoring,est-MD","","Cross-cutting"
"T051.2 - Configure alerts","ID: T051.2\nEstimate: LO\nFiles: monitoring/alerts/*\nDescription: Alerts for low AppBalance and provider error spikes.\nAcceptance: alerts trigger on configured thresholds.","monitoring,est-LO","","Cross-cutting"
"T052.1 - Idempotency keys for job submission","ID: T052.1\nEstimate: MD\nFiles: backend/src/jobs/producer/*\nDescription: Implement idempotency on submit.\nAcceptance: duplicate submits are de-duplicated.","backend,est-MD","","Cross-cutting"
"T052.2 - Worker retry/backoff semantics","ID: T052.2\nEstimate: MD\nFiles: backend/src/jobs/worker/*\nDescription: Implement retry/backoff and failure handling.\nAcceptance: retries occur and refunds on terminal failure.","worker,est-MD","","Cross-cutting"
"T053.1 - Secrets management integration","ID: T053.1\nEstimate: LO\nFiles: infra/secret-config*\nDescription: Integrate secret manager for API keys.\nAcceptance: secrets not stored in repo.","security,infra,est-LO","","Cross-cutting"
"T053.2 - RBAC and audit trails","ID: T053.2\nEstimate: MD\nFiles: backend/src/auth, admin/src/audit*\nDescription: Enforce RBAC and record admin actions.\nAcceptance: audit logs for admin changes.","security,admin,est-MD","","Cross-cutting"
"T053.3 - Rate limiting on public endpoints","ID: T053.3\nEstimate: LO\nFiles: backend/src/middleware/ratelimit*\nDescription: Apply rate limits to public APIs.\nAcceptance: limits enforced under load.","security,est-LO","","Cross-cutting"
"T054.1 - Build and push Docker images","ID: T054.1\nEstimate: MD\nFiles: .github/workflows/deploy*, Dockerfiles\nDescription: CI builds images for backend/worker/miniapp/admin.\nAcceptance: images pushed to registry.","ci,deploy,est-MD","","Cross-cutting"
"T054.2 - Deploy to staging and smoke tests","ID: T054.2\nEstimate: MD\nFiles: deploy/scripts/*\nDescription: Deploy to staging and run smoke tests.\nAcceptance: staging smoke tests pass.","ci,deploy,est-MD","","Cross-cutting"

All issues exported to .github/issue-import/tasks_issues.csv

<exited with exit code 0>